0 0 0 0 0 0 0 0
1 3.58916 0.000548903 1.9677e-05 1.96103e-05 1.22602e-06 1.19183e-06 4.65512e-07
2 3.59582 0.282512 0.128837 0.12171 0.0865955 0.0905732 0.00663867
3 3.59586 0.284531 0.246762 0.122243 0.0865997 0.0905867 0.0954798
4 3.59586 0.284903 0.540802 0.12265 0.0866119 0.0905868 0.098151
5 3.59586 0.284972 0.587979 0.122719 0.086845 0.0905868 0.0981543
6 3.59586 0.284985 0.590252 0.12277 0.087555 0.0905868 0.0981543
7 3.59586 0.284987 0.590355 0.122782 0.0902341 0.0905868 0.0981543
8 3.59586 0.285005 0.590355 0.122782 0.0992039 0.0905868 0.0981543
9 3.59586 0.285005 0.590355 0.122782 0.120893 0.0905868 0.0981543
10 3.59586 0.285005 0.590355 0.122782 0.147981 0.0905868 0.0981543
11 3.59586 0.285005 0.590355 0.122782 0.163577 0.0905868 0.0981543
12 3.59586 0.285005 0.590355 0.122782 0.171548 0.0905868 0.0981543
